Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played
Jared Goff,QB,The Hungry Dogs,234.9,15.66,223.0,17.15,13
Lions D/ST,D/ST,The Hungry Dogs,106.71,6.28,99.0,7.62,13
Jonnu Smith,TE,The Hungry Dogs,83.38,5.56,160.1,12.32,13
Chase McLaughlin,K,The Hungry Dogs,133.62,7.86,114.0,8.77,13
Baker Mayfield,QB,Pleasant Valley Panthers,245.41,16.36,259.26,19.94,13
Cameron Dicker,K,Pleasant Valley Panthers,138.3,8.14,129.0,9.92,13
Tyrone Tracy Jr.,RB,Pleasant Valley Panthers,82.86,5.92,143.0,11.0,13
J.K. Dobbins,RB,Inter Miami CF,155.48,11.96,166.0,15.09,11
Jauan Jennings,WR,Inter Miami CF,73.15,4.88,170.4,15.49,11
Cade Otton,TE,Inter Miami CF,109.61,7.31,136.2,10.48,13
Darnell Mooney,WR,Inter Miami CF,174.04,11.6,174.3,13.41,13
Bucky Irving,RB,Inter Miami CF,112.11,8.01,173.5,13.35,13
Tua Tagovailoa,QB,Inter Miami CF,240.5,16.03,165.24,18.36,9
Pat Freiermuth,TE,Bryson Stott Fan Club,138.09,9.21,119.0,9.15,13
Jake Bates,K,Bryson Stott Fan Club,137.91,8.11,125.0,9.62,13
Sam Darnold,QB,Bryson Stott Fan Club,192.49,14.81,241.36,18.57,13
Eagles D/ST,D/ST,Abyss Diamond Eyes,89.53,5.27,94.0,7.23,13
Josh Downs,WR,Abyss Diamond Eyes,111.26,8.56,137.6,13.76,10
Chris Boswell,K,Abyss Diamond Eyes,129.64,7.63,162.0,12.46,13
Justin Herbert,QB,Abyss Diamond Eyes,252.01,16.8,196.96,15.15,13
Bo Nix,QB,JanSteez,192.76,13.77,227.28,17.48,13
Texans D/ST,D/ST,JanSteez,89.43,5.26,113.0,8.69,13
Brock Bowers,TE,First down syndrome ,144.0,9.6,205.7,15.82,13
Chuba Hubbard,RB,First down syndrome ,136.19,9.73,200.2,15.4,13
Justin Fields,QB,First down syndrome ,89.65,17.93,118.34,13.15,9
